fold,accuracy,precision,recall,roc_auc
0,0.9892037786774629,0.9892037786774629,0.9892037786774629,0.9990097128575989
0,0.7816960598552203,0.7816960598552203,0.7816960598552203,0.9860267307049224
1,0.9946018893387314,0.9946018893387314,0.9946018893387314,0.9990829333857665
1,0.778575732250102,0.778575732250102,0.778575732250102,0.9877485749187241
2,0.9939271255060729,0.9939271255060729,0.9939271255060729,0.9992860025236888
2,0.7828739267962043,0.7828739267962043,0.7828739267962043,0.9893296342674237
3,0.9898785425101214,0.9898785425101214,0.9898785425101214,0.9987623670888348
3,0.7724354536643664,0.7724354536643664,0.7724354536643664,0.9843807173400217
4,0.99527665317139,0.99527665317139,0.99527665317139,0.9994153990914943
4,0.7862482331855118,0.7862482331855118,0.7862482331855118,0.9886442201382084
None,0.9925775978407557,0.9925775978407557,0.9925775978407557,0.9991112829894766
None,0.0025247350787948324,0.0025247350787948324,0.0025247350787948324,0.9991112829894766
None,0.7803658811502809,0.7803658811502809,0.7803658811502809,0.98722597547386
None,0.004663862069351002,0.004663862069351002,0.004663862069351002,0.98722597547386
